state,action,reward,next_state,done
"[6.0, 43.57844161987305, 66.3307113647461, 59.01237106323242, 57.270477294921875, 43.57844161987305, 4.900000095367432, 1.100000023841858, 2.299999952316284, 2.998208999633789, 2.4000000953674316]",5,0.0,"[8.0, 55.75838851928711, 89.16690063476562, 81.8630599975586, 79.63208770751953, 55.75838851928711, 4.900000095367432, 1.3666666746139526, 2.0999999046325684, 2.998208999633789, 2.4000000953674316]",False
"[8.0, 55.75838851928711, 89.16690063476562, 81.8630599975586, 79.63208770751953, 55.75838851928711, 4.900000095367432, 1.3666666746139526, 2.0999999046325684, 2.998208999633789, 2.4000000953674316]",5,0.0,"[10.0, 78.94416809082031, 112.3097915649414, 103.14275360107422, 100.59358978271484, 70.71253204345703, 4.900000095367432, 1.1666666269302368, 2.0, 5.158848762512207, 2.897599697113037]",False
"[10.0, 78.94416809082031, 112.3097915649414, 103.14275360107422, 100.59358978271484, 70.71253204345703, 4.900000095367432, 1.1666666269302368, 2.0, 5.158848762512207, 2.897599697113037]",5,0.0,"[14.0, 127.1238784790039, 157.2944793701172, 152.1678466796875, 144.25466918945312, 99.29557037353516, 1.100000023841858, 1.100000023841858, 1.899999976158142, 4.158848762512207, 2.6806282997131348]",False
"[14.0, 127.1238784790039, 157.2944793701172, 152.1678466796875, 144.25466918945312, 99.29557037353516, 1.100000023841858, 1.100000023841858, 1.899999976158142, 4.158848762512207, 2.6806282997131348]",5,0.0,"[16.0, 148.5663299560547, 181.38250732421875, 175.38746643066406, 164.32656860351562, 112.86859893798828, 1.100000023841858, 1.100000023841858, 1.7999999523162842, 2.8982090950012207, 2.273839235305786]",False
"[16.0, 148.5663299560547, 181.38250732421875, 175.38746643066406, 164.32656860351562, 112.86859893798828, 1.100000023841858, 1.100000023841858, 1.7999999523162842, 2.8982090950012207, 2.273839235305786]",5,0.0,"[18.0, 173.00625610351562, 208.70811462402344, 198.9145965576172, 182.01467895507812, 127.30860137939453, 1.100000023841858, 1.100000023841858, 1.7999999523162842, 1.8982089757919312, 2.922861337661743]",False
"[18.0, 173.00625610351562, 208.70811462402344, 198.9145965576172, 182.01467895507812, 127.30860137939453, 1.100000023841858, 1.100000023841858, 1.7999999523162842, 1.8982089757919312, 2.922861337661743]",5,0.0,"[20.0, 195.01771545410156, 237.36953735351562, 223.65682983398438, 202.99868774414062, 141.95346069335938, 1.100000023841858, 1.100000023841858, 1.7999999523162842, 1.100000023841858, 2.586398124694824]",False
"[20.0, 195.01771545410156, 237.36953735351562, 223.65682983398438, 202.99868774414062, 141.95346069335938, 1.100000023841858, 1.100000023841858, 1.7999999523162842, 1.100000023841858, 2.586398124694824]",5,0.0,"[22.0, 218.22189331054688, 264.3983459472656, 249.6431427001953, 228.3973388671875, 158.20655822753906, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 2.686481237411499]",False
"[22.0, 218.22189331054688, 264.3983459472656, 249.6431427001953, 228.3973388671875, 158.20655822753906, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 2.686481237411499]",5,0.0,"[24.0, 241.73377990722656, 291.7526550292969, 275.9485778808594, 256.8661193847656, 174.6598663330078, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 3.0679283142089844]",False
"[24.0, 241.73377990722656, 291.7526550292969, 275.9485778808594, 256.8661193847656, 174.6598663330078, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 3.0679283142089844]",5,0.0,"[26.0, 263.626708984375, 319.4449462890625, 301.6307678222656, 285.6922607421875, 191.33663940429688, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 4.0890045166015625]",False
"[26.0, 263.626708984375, 319.4449462890625, 301.6307678222656, 285.6922607421875, 191.33663940429688, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 4.0890045166015625]",5,0.0,"[30.0, 324.6866149902344, 380.0225830078125, 354.90069580078125, 337.7578125, 220.8897247314453, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 4.875649929046631]",False
"[30.0, 324.6866149902344, 380.0225830078125, 354.90069580078125, 337.7578125, 220.8897247314453, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 4.875649929046631]",5,0.0,"[32.0, 349.34234619140625, 406.6080627441406, 382.505859375, 359.9171142578125, 235.95260620117188, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 5.9727959632873535]",False
"[32.0, 349.34234619140625, 406.6080627441406, 382.505859375, 359.9171142578125, 235.95260620117188, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 5.9727959632873535]",5,0.0,"[34.0, 380.28912353515625, 436.7315368652344, 410.4359436035156, 388.1940002441406, 251.95228576660156, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 8.005945205688477]",False
"[34.0, 380.28912353515625, 436.7315368652344, 410.4359436035156, 388.1940002441406, 251.95228576660156, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 8.005945205688477]",5,0.0,"[36.0, 405.5312805175781, 465.0408935546875, 435.66070556640625, 412.8481750488281, 271.2383117675781, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 9.663650512695312]",False
"[36.0, 405.5312805175781, 465.0408935546875, 435.66070556640625, 412.8481750488281, 271.2383117675781, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 9.663650512695312]",5,0.0,"[38.0, 433.1181945800781, 494.773681640625, 460.15777587890625, 437.79730224609375, 289.97393798828125, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 16.968442916870117]",False
"[38.0, 433.1181945800781, 494.773681640625, 460.15777587890625, 437.79730224609375, 289.97393798828125, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 16.968442916870117]",5,0.45,"[61.0, 500.0, 500.0, 500.0, 500.0, 500.0, 1.100000023841858, 1.100000023841858, 1.899999976158142, 1.100000023841858, 16.968442916870117]",True
