reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
1.049091611,58.43054962,18,38.05617523,28,"[0, 3, 3, 1, 0]","[2, 7, 3, 5, 4]",3,1,2,0
-0.81,179.2568817,13,47.40776825,31,"[4, 1, 2, 5, 5]","[6, 1, 1, 3, 3]",1,0,4,1
0.405,384.5255432,19,43.85737991,34,"[5, 3, 2, 5, 1]","[1, 3, 4, 3, 7]",9,4,1,2
-1.2,142.9077606,18,45.13411713,37,"[5, 2, 6, 5, 8]","[1, 2, 2, 3, 3]",8,4,3,3
-0.277889785,52.57877731,19,38.66602325,32,"[3, 3, 2, 4, 5]","[4, 1, 3, 3, 4]",8,4,3,4
-0.39,42.00990295,21,34.47437668,34,"[6, 3, 4, 4, 3]","[2, 2, 4, 2, 4]",0,0,2,5
0.375,48.38016891,22,46.97792816,36,"[2, 3, 1, 4, 5]","[5, 6, 5, 4, 1]",3,1,0,6
-0.165,461.0214844,18,35.95091248,31,"[2, 3, 4, 5, 3]","[3, 3, 4, 3, 1]",6,3,3,7
1.5,135.0014038,27,49.26502228,40,"[2, 6, 2, 2, 1]","[4, 6, 7, 5, 5]",5,2,1,8
-0.084803748,84.79686737,13,38.42753983,32,"[3, 4, 2, 4, 2]","[2, 4, 6, 3, 2]",5,2,4,9
-1.11,102.7504654,17,44.96379852,37,"[3, 4, 2, 3, 5]","[3, 6, 4, 2, 5]",3,1,2,10
0.585,154.1221008,26,40.42301559,41,"[2, 7, 3, 6, 4]","[5, 4, 2, 6, 2]",2,1,4,11
-0.342451808,122.2974014,16,42.96233368,35,"[3, 4, 4, 1, 5]","[1, 4, 8, 2, 3]",5,2,4,12
0.155,179.1629486,27,37.33152008,38,"[2, 4, 1, 2, 6]","[3, 1, 4, 8, 7]",7,3,4,13
-0.653693868,47.40828705,18,29.14290237,34,"[3, 4, 2, 2, 4]","[5, 7, 2, 3, 2]",3,1,1,14
-0.015,348.6677856,27,41.69887161,39,"[4, 4, 4, 3, 3]","[3, 5, 1, 7, 5]",7,3,2,15
0.06,139.8441772,18,45.35289001,35,"[1, 4, 2, 1, 3]","[6, 6, 1, 4, 7]",9,4,3,16
-0.315,765.7495117,20,56.163414,42,"[4, 4, 9, 2, 2]","[3, 3, 2, 9, 4]",4,2,1,17
-0.15,122.2473907,13,54.72733688,33,"[3, 3, 2, 3, 7]","[3, 2, 5, 3, 2]",8,4,1,18
-0.705,393.2936707,22,49.74974823,35,"[4, 0, 5, 5, 6]","[4, 2, 0, 6, 3]",7,3,3,19
-0.3851583,43.59986496,19,43.34267807,38,"[3, 5, 7, 4, 3]","[4, 3, 4, 3, 2]",4,2,4,20
0.15,231.0284271,11,55.46598053,36,"[4, 0, 6, 3, 3]","[5, 6, 5, 2, 2]",4,2,3,21
-0.375,588.3265381,23,41.91333389,37,"[6, 2, 4, 2, 3]","[7, 4, 2, 4, 3]",1,0,0,22
-0.29,139.6271667,19,45.03512192,33,"[1, 5, 6, 4, 2]","[4, 3, 2, 4, 2]",4,2,3,23
0.84,142.3338318,18,37.29755402,39,"[1, 5, 4, 4, 0]","[4, 2, 6, 5, 8]",9,4,1,24
1.65,85.54819489,21,48.52463913,36,"[2, 3, 2, 2, 3]","[6, 4, 3, 5, 6]",1,0,2,25
-0.78,167.8910828,25,48.42044449,34,"[6, 1, 1, 5, 6]","[1, 2, 4, 4, 4]",0,0,3,26
0.51,114.7782822,23,42.65365219,36,"[2, 3, 3, 5, 0]","[3, 6, 6, 6, 2]",3,1,0,27
0.795,90.29450226,24,36.38124084,36,"[6, 2, 0, 1, 5]","[4, 5, 4, 3, 6]",0,0,4,28
-0.18,101.9191284,18,44.45167542,34,"[4, 5, 2, 4, 2]","[4, 5, 1, 2, 5]",3,1,3,29
0.74,75.04989624,19,41.83024597,42,"[10, 2, 5, 6, 5]","[4, 2, 3, 3, 2]",0,0,4,30
-0.37594712,78.03510284,20,35.26179504,33,"[3, 4, 6, 2, 3]","[3, 3, 2, 3, 4]",4,2,3,31
-0.783734655,328.3151855,27,42.38137817,38,"[4, 4, 6, 2, 4]","[1, 1, 6, 5, 5]",4,2,4,32
-0.18,74.9397049,25,37.38295746,41,"[2, 5, 2, 8, 4]","[5, 3, 2, 5, 5]",6,3,1,33
0.825,150.5693054,26,44.54215622,38,"[5, 3, 4, 4, 1]","[6, 3, 4, 4, 4]",1,0,0,34
-0.006278165,743.4761353,21,54.53594971,39,"[2, 6, 9, 4, 2]","[2, 0, 2, 9, 3]",7,3,0,35
-0.06,160.1769714,15,55.83345413,34,"[4, 3, 3, 4, 4]","[3, 3, 3, 4, 3]",8,4,3,36
-0.195,159.8067932,23,46.3204155,39,"[3, 3, 5, 4, 2]","[3, 6, 3, 3, 7]",9,4,2,37
-1.54831653,93.52733612,21,39.63589859,37,"[6, 3, 4, 6, 4]","[2, 4, 4, 2, 2]",6,3,1,38
-1.688302023,792.5440063,20,52.97195435,45,"[8, 4, 2, 5, 5]","[2, 6, 3, 7, 3]",0,0,1,39
-0.915,95.79984283,17,41.81136703,35,"[2, 6, 5, 6, 3]","[2, 3, 3, 3, 2]",6,3,1,40
0.285,42.77204895,11,47.39681625,36,"[4, 2, 6, 4, 1]","[2, 6, 2, 2, 7]",9,4,3,41
0.26267222,126.4447708,21,42.88787079,37,"[3, 4, 11, 4, 4]","[3, 1, 2, 4, 1]",4,2,1,42
-1.166382285,108.7249908,12,37.82477188,33,"[2, 4, 4, 5, 1]","[5, 5, 2, 3, 2]",6,3,4,43
-0.72,125.5076447,16,46.58293915,35,"[3, 6, 6, 4, 1]","[1, 5, 5, 3, 1]",2,1,4,44
-0.09,155.9533234,18,35.80499268,35,"[6, 5, 4, 2, 1]","[5, 3, 3, 4, 2]",0,0,3,45
0.575,40.21211624,19,36.91262817,34,"[2, 2, 4, 8, 2]","[3, 3, 1, 6, 3]",6,3,4,46
-0.27,176.1795349,25,46.38780212,38,"[4, 3, 2, 5, 5]","[2, 5, 6, 3, 3]",5,2,4,47
-0.558509393,220.5583801,17,36.43135834,31,"[1, 3, 2, 4, 4]","[3, 1, 4, 4, 5]",9,4,2,48
0.856854149,97.51079559,20,41.61073685,36,"[2, 3, 4, 5, 3]","[3, 4, 1, 3, 8]",9,4,3,49
10.05,124.4910126,15,51.45240021,39,"[5, 6, 2, 6, 1]","[7, 3, 7, 0, 2]",5,2,1,50
-0.645,400.1725769,13,35.32955933,28,"[0, 3, 4, 3, 6]","[1, 4, 2, 1, 4]",8,4,4,51
-0.78,63.72520065,28,38.63629913,38,"[4, 4, 4, 7, 2]","[6, 5, 3, 2, 1]",6,3,0,52
-0.3,422.8959961,16,51.04546738,39,"[4, 3, 4, 5, 7]","[6, 3, 3, 2, 2]",8,4,3,53
0.210975274,159.2101135,17,45.95763779,37,"[4, 3, 1, 5, 3]","[4, 7, 3, 3, 4]",3,1,4,54
0.831194804,616.574646,17,36.51166534,38,"[2, 4, 1, 5, 4]","[3, 4, 5, 6, 4]",7,3,4,55
-0.24,111.3161163,21,41.0164566,39,"[3, 3, 4, 4, 4]","[3, 7, 3, 3, 5]",3,1,4,56
-0.705,91.23049927,20,35.9030304,35,"[5, 2, 4, 5, 3]","[4, 3, 2, 2, 5]",0,0,2,57
0.255,504.4967041,22,42.06285858,31,"[3, 1, 4, 3, 5]","[3, 3, 4, 3, 2]",8,4,0,58
0.625524834,51.56618881,21,40.50741196,45,"[3, 4, 3, 7, 5]","[3, 4, 4, 3, 9]",9,4,2,59
0.155,68.87783813,17,37.94762421,35,"[4, 2, 3, 2, 4]","[3, 4, 5, 3, 5]",5,2,2,60
-0.37876891,50.62976456,19,45.25419998,38,"[6, 1, 3, 1, 4]","[4, 9, 2, 6, 2]",3,1,3,61
-0.564203967,230.8782043,16,34.61830902,32,"[2, 1, 1, 5, 3]","[6, 6, 4, 1, 3]",1,0,1,62
-0.694149418,57.06081772,26,27.8593502,38,"[6, 5, 5, 4, 1]","[1, 2, 5, 2, 7]",9,4,4,63
-0.855,73.80561829,18,19.97854233,39,"[4, 4, 2, 4, 4]","[4, 2, 2, 5, 8]",9,4,0,64
0.553215912,33.99995041,21,25.73975563,35,"[5, 4, 1, 3, 5]","[2, 7, 2, 2, 4]",3,1,3,65
0.168238764,574.888916,19,33.26900864,38,"[1, 6, 1, 4, 2]","[5, 1, 3, 8, 7]",7,3,2,66
