state,action,reward,next_state,done
"[5.0, 37.61281967163086, 37.61281967163086, 41.94470977783203, 50.023414611816406, 46.1558837890625, 1.5666667222976685, 4.900000095367432, 1.4666666984558105, 2.4000000953674316, 3.314960241317749]",5,0.0,"[6.0, 45.274681091308594, 45.274681091308594, 51.710838317871094, 58.93144226074219, 58.201297760009766, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 2.4000000953674316, 3.09738826751709]",False
"[6.0, 45.274681091308594, 45.274681091308594, 51.710838317871094, 58.93144226074219, 58.201297760009766, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 2.4000000953674316, 3.09738826751709]",5,0.0,"[7.0, 53.69442367553711, 53.69442367553711, 59.08919906616211, 66.46755981445312, 66.46755981445312, 1.5666667222976685, 4.969156265258789, 1.4666666984558105, 1.399999976158142, 2.9973881244659424]",False
"[7.0, 53.69442367553711, 53.69442367553711, 59.08919906616211, 66.46755981445312, 66.46755981445312, 1.5666667222976685, 4.969156265258789, 1.4666666984558105, 1.399999976158142, 2.9973881244659424]",5,0.0,"[8.0, 61.46875762939453, 61.46875762939453, 67.34710693359375, 75.60501861572266, 75.60501861572266, 1.5666667222976685, 4.969156265258789, 1.4666666984558105, 1.2999999523162842, 2.9973881244659424]",False
"[8.0, 61.46875762939453, 61.46875762939453, 67.34710693359375, 75.60501861572266, 75.60501861572266, 1.5666667222976685, 4.969156265258789, 1.4666666984558105, 1.2999999523162842, 2.9973881244659424]",5,0.0,"[9.0, 70.72306823730469, 70.72306823730469, 78.99181365966797, 84.10809326171875, 84.10809326171875, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2999999523162842, 2.897388219833374]",False
"[9.0, 70.72306823730469, 70.72306823730469, 78.99181365966797, 84.10809326171875, 84.10809326171875, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2999999523162842, 2.897388219833374]",5,0.0,"[10.0, 83.77233123779297, 78.60987854003906, 89.88240814208984, 92.66580963134766, 92.66580963134766, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2999999523162842, 2.897388219833374]",False
"[10.0, 83.77233123779297, 78.60987854003906, 89.88240814208984, 92.66580963134766, 92.66580963134766, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2999999523162842, 2.897388219833374]",5,0.0,"[12.0, 108.2389907836914, 95.99639892578125, 109.36543273925781, 115.16493225097656, 116.66796875, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2000000476837158, 2.4973881244659424]",False
"[12.0, 108.2389907836914, 95.99639892578125, 109.36543273925781, 115.16493225097656, 116.66796875, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2000000476837158, 2.4973881244659424]",5,0.0,"[13.0, 118.69918823242188, 103.31959533691406, 119.63333892822266, 126.51321411132812, 128.29684448242188, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2000000476837158, 2.397388219833374]",False
"[13.0, 118.69918823242188, 103.31959533691406, 119.63333892822266, 126.51321411132812, 128.29684448242188, 1.5666667222976685, 5.113558769226074, 1.4666666984558105, 1.2000000476837158, 2.397388219833374]",5,0.0,"[14.0, 124.51590728759766, 112.16878509521484, 127.38802337646484, 135.14271545410156, 140.9737091064453, 1.5666667222976685, 5.381180763244629, 1.4666666984558105, 1.100000023841858, 2.2973883152008057]",False
"[14.0, 124.51590728759766, 112.16878509521484, 127.38802337646484, 135.14271545410156, 140.9737091064453, 1.5666667222976685, 5.381180763244629, 1.4666666984558105, 1.100000023841858, 2.2973883152008057]",5,0.0,"[16.0, 145.66748046875, 130.7937469482422, 145.66748046875, 156.97146606445312, 159.6714630126953, 1.5666667222976685, 5.638091564178467, 1.4666666984558105, 1.100000023841858, 1.997388243675232]",False
"[16.0, 145.66748046875, 130.7937469482422, 145.66748046875, 156.97146606445312, 159.6714630126953, 1.5666667222976685, 5.638091564178467, 1.4666666984558105, 1.100000023841858, 1.997388243675232]",5,0.0,"[18.0, 165.97483825683594, 142.84861755371094, 165.97483825683594, 175.28579711914062, 179.27513122558594, 4.900000095367432, 5.830029487609863, 1.4666666984558105, 1.2000000476837158, 1.397388219833374]",False
"[18.0, 165.97483825683594, 142.84861755371094, 165.97483825683594, 175.28579711914062, 179.27513122558594, 4.900000095367432, 5.830029487609863, 1.4666666984558105, 1.2000000476837158, 1.397388219833374]",5,0.0,"[19.0, 173.9983367919922, 152.76754760742188, 173.9983367919922, 186.5701446533203, 187.01312255859375, 4.900000095367432, 5.830029487609863, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[19.0, 173.9983367919922, 152.76754760742188, 173.9983367919922, 186.5701446533203, 187.01312255859375, 4.900000095367432, 5.830029487609863, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[20.0, 182.07559204101562, 162.75294494628906, 182.07559204101562, 196.18426513671875, 197.40330505371094, 4.900000095367432, 5.830029487609863, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[20.0, 182.07559204101562, 162.75294494628906, 182.07559204101562, 196.18426513671875, 197.40330505371094, 4.900000095367432, 5.830029487609863, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[21.0, 193.82040405273438, 170.48513793945312, 193.82040405273438, 207.62417602539062, 208.73828125, 4.900000095367432, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
"[21.0, 193.82040405273438, 170.48513793945312, 193.82040405273438, 207.62417602539062, 208.73828125, 4.900000095367432, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",5,0.0,"[22.0, 204.9022216796875, 179.04678344726562, 206.55227661132812, 215.59796142578125, 219.27418518066406, 4.900000095367432, 5.972210884094238, 1.4666666984558105, 1.2999999523162842, 1.100000023841858]",False
