reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
1.0490916112065316,58.43054962158203,18,38.056175231933594,28,"[0, 3, 3, 1, 0]","[2, 7, 3, 5, 4]",3,1,2,0
-0.81,179.2568817138672,13,47.40776824951172,31,"[4, 1, 2, 5, 5]","[6, 1, 1, 3, 3]",1,0,4,1
0.405,384.5255432128906,19,43.85737991333008,34,"[5, 3, 2, 5, 1]","[1, 3, 4, 3, 7]",9,4,1,2
-1.2,142.9077606201172,18,45.134117126464844,37,"[5, 2, 6, 5, 8]","[1, 2, 2, 3, 3]",8,4,3,3
-0.2778897848725319,52.57877731323242,19,38.66602325439453,32,"[3, 3, 2, 4, 5]","[4, 1, 3, 3, 4]",8,4,3,4
-0.39,42.00990295410156,21,34.4743766784668,34,"[6, 3, 4, 4, 3]","[2, 2, 4, 2, 4]",0,0,2,5
0.375,48.38016891479492,22,46.977928161621094,36,"[2, 3, 1, 4, 5]","[5, 6, 5, 4, 1]",3,1,0,6
-0.165,461.021484375,18,35.95091247558594,31,"[2, 3, 4, 5, 3]","[3, 3, 4, 3, 1]",6,3,3,7
1.5,135.00140380859375,27,49.26502227783203,40,"[2, 6, 2, 2, 1]","[4, 6, 7, 5, 5]",5,2,1,8
-0.08480374842882156,84.79686737060547,13,38.42753982543945,32,"[3, 4, 2, 4, 2]","[2, 4, 6, 3, 2]",5,2,4,9
-1.11,102.7504653930664,17,44.96379852294922,37,"[3, 4, 2, 3, 5]","[3, 6, 4, 2, 5]",3,1,2,10
0.585,154.12210083007812,26,40.42301559448242,41,"[2, 7, 3, 6, 4]","[5, 4, 2, 6, 2]",2,1,4,11
-0.34245180755853655,122.29740142822266,16,42.96233367919922,35,"[3, 4, 4, 1, 5]","[1, 4, 8, 2, 3]",5,2,4,12
0.155,179.16294860839844,27,37.331520080566406,38,"[2, 4, 1, 2, 6]","[3, 1, 4, 8, 7]",7,3,4,13
-0.6536938682198524,47.408287048339844,18,29.142902374267578,34,"[3, 4, 2, 2, 4]","[5, 7, 2, 3, 2]",3,1,1,14
-0.015,348.66778564453125,27,41.69887161254883,39,"[4, 4, 4, 3, 3]","[3, 5, 1, 7, 5]",7,3,2,15
0.06,139.84417724609375,18,45.35289001464844,35,"[1, 4, 2, 1, 3]","[6, 6, 1, 4, 7]",9,4,3,16
-0.315,765.74951171875,20,56.163414001464844,42,"[4, 4, 9, 2, 2]","[3, 3, 2, 9, 4]",4,2,1,17
-0.15,122.24739074707031,13,54.72733688354492,33,"[3, 3, 2, 3, 7]","[3, 2, 5, 3, 2]",8,4,1,18
-0.705,393.2936706542969,22,49.74974822998047,35,"[4, 0, 5, 5, 6]","[4, 2, 0, 6, 3]",7,3,3,19
-0.3851583003997803,43.5998649597168,19,43.34267807006836,38,"[3, 5, 7, 4, 3]","[4, 3, 4, 3, 2]",4,2,4,20
0.15,231.02842712402344,11,55.465980529785156,36,"[4, 0, 6, 3, 3]","[5, 6, 5, 2, 2]",4,2,3,21
-0.375,588.3265380859375,23,41.913333892822266,37,"[6, 2, 4, 2, 3]","[7, 4, 2, 4, 3]",1,0,0,22
-0.29,139.62716674804688,19,45.03512191772461,33,"[1, 5, 6, 4, 2]","[4, 3, 2, 4, 2]",4,2,3,23
0.84,142.33383178710938,18,37.29755401611328,39,"[1, 5, 4, 4, 0]","[4, 2, 6, 5, 8]",9,4,1,24
1.65,85.5481948852539,21,48.52463912963867,36,"[2, 3, 2, 2, 3]","[6, 4, 3, 5, 6]",1,0,2,25
-0.78,167.89108276367188,25,48.42044448852539,34,"[6, 1, 1, 5, 6]","[1, 2, 4, 4, 4]",0,0,3,26
0.51,114.77828216552734,23,42.65365219116211,36,"[2, 3, 3, 5, 0]","[3, 6, 6, 6, 2]",3,1,0,27
0.795,90.29450225830078,24,36.38124084472656,36,"[6, 2, 0, 1, 5]","[4, 5, 4, 3, 6]",0,0,4,28
-0.18,101.91912841796875,18,44.45167541503906,34,"[4, 5, 2, 4, 2]","[4, 5, 1, 2, 5]",3,1,3,29
0.74,75.04989624023438,19,41.83024597167969,42,"[10, 2, 5, 6, 5]","[4, 2, 3, 3, 2]",0,0,4,30
-0.37594712048768997,78.03510284423828,20,35.26179504394531,33,"[3, 4, 6, 2, 3]","[3, 3, 2, 3, 4]",4,2,3,31
-0.7837346552312374,328.315185546875,27,42.381378173828125,38,"[4, 4, 6, 2, 4]","[1, 1, 6, 5, 5]",4,2,4,32
-0.18,74.93970489501953,25,37.382957458496094,41,"[2, 5, 2, 8, 4]","[5, 3, 2, 5, 5]",6,3,1,33
0.825,150.56930541992188,26,44.54215621948242,38,"[5, 3, 4, 4, 1]","[6, 3, 4, 4, 4]",1,0,0,34
-0.006278164982795716,743.4761352539062,21,54.53594970703125,39,"[2, 6, 9, 4, 2]","[2, 0, 2, 9, 3]",7,3,0,35
-0.06,160.17697143554688,15,55.83345413208008,34,"[4, 3, 3, 4, 4]","[3, 3, 3, 4, 3]",8,4,3,36
-0.195,159.80679321289062,23,46.32041549682617,39,"[3, 3, 5, 4, 2]","[3, 6, 3, 3, 7]",9,4,2,37
-1.548316529840231,93.52733612060547,21,39.63589859008789,37,"[6, 3, 4, 6, 4]","[2, 4, 4, 2, 2]",6,3,1,38
-1.688302023410797,792.5440063476562,20,52.971954345703125,45,"[8, 4, 2, 5, 5]","[2, 6, 3, 7, 3]",0,0,1,39
-0.915,95.79984283447266,17,41.81136703491211,35,"[2, 6, 5, 6, 3]","[2, 3, 3, 3, 2]",6,3,1,40
0.285,42.77204895019531,11,47.39681625366211,36,"[4, 2, 6, 4, 1]","[2, 6, 2, 2, 7]",9,4,3,41
0.2626722198724747,126.44477081298828,21,42.88787078857422,37,"[3, 4, 11, 4, 4]","[3, 1, 2, 4, 1]",4,2,1,42
-1.1663822847604752,108.72499084472656,12,37.824771881103516,33,"[2, 4, 4, 5, 1]","[5, 5, 2, 3, 2]",6,3,4,43
-0.72,125.50764465332031,16,46.58293914794922,35,"[3, 6, 6, 4, 1]","[1, 5, 5, 3, 1]",2,1,4,44
-0.09,155.9533233642578,18,35.80499267578125,35,"[6, 5, 4, 2, 1]","[5, 3, 3, 4, 2]",0,0,3,45
0.575,40.21211624145508,19,36.912628173828125,34,"[2, 2, 4, 8, 2]","[3, 3, 1, 6, 3]",6,3,4,46
-0.27,176.17953491210938,25,46.38780212402344,38,"[4, 3, 2, 5, 5]","[2, 5, 6, 3, 3]",5,2,4,47
-0.5585093930363655,220.55838012695312,17,36.431358337402344,31,"[1, 3, 2, 4, 4]","[3, 1, 4, 4, 5]",9,4,2,48
0.8568541491031647,97.51079559326172,20,41.61073684692383,36,"[2, 3, 4, 5, 3]","[3, 4, 1, 3, 8]",9,4,3,49
10.05,124.49101257324219,15,51.45240020751953,39,"[5, 6, 2, 6, 1]","[7, 3, 7, 0, 2]",5,2,1,50
